Route,Direction,StopOrder,StopID,PercentDone,ID
140,OB,26,264,53.77,550
140,OB,27,6059,57.79,551
140,OB,28,334,63.55,552
140,OB,29,7581,71.32,553
140,OB,30,1283,74.75,554
140,OB,31,7579,78.04,555
140,OB,32,1285,81.87,556
140,OB,33,1016,86.02,557
140,OB,34,1017,88.07,558
140,OB,35,1018,89.37,559
140,OB,36,1019,90.33,560
140,OB,37,1020,91.48,561
140,OB,38,1076,93.12,562
140,OB,39,1021,94.97,563
140,OB,40,6042,95.91,564
140,OB,41,1022,96.23,565
140,OB,42,1023,97.27,566
140,OB,43,1024,98.2,567
140,OB,44,895,100,568
142,OB,1,1016,0,569
142,OB,2,1017,5.01,570
142,OB,3,1018,8.1,571
142,OB,4,1019,10.42,572
142,OB,5,1020,13.72,573
142,OB,6,1076,19.16,574
142,OB,7,1021,26.13,575
142,OB,8,6042,29.5,576
142,OB,9,1022,30.53,577
142,OB,10,1023,34.37,578
142,OB,11,1024,37.11,579
142,OB,12,895,42.19,580
142,OB,13,1025,49.31,581
142,OB,14,1026,55.92,582
142,OB,15,1027,58.22,583
142,OB,16,1028,59.76,584
142,OB,17,2818,71.99,585
142,OB,18,2819,75.57,586
142,OB,19,3012,77.48,587
142,OB,20,877,100,588
145,OB,1,4320,0,589
145,OB,2,1476,2.83,590
145,OB,3,7453,4.61,591
145,OB,4,1478,6.71,592
145,OB,5,1479,8.36,593
145,OB,6,7622,10.93,594
145,OB,7,334,14.7,595
145,OB,8,406,20.52,596
145,OB,9,747,23.3,597
145,OB,10,842,25.66,598
145,OB,11,845,26.9,599
145,OB,12,846,28.6,600
145,OB,13,847,29.98,601
145,OB,14,848,31.19,602
145,OB,15,2795,32.31,603
145,OB,16,756,33.68,604
145,OB,17,757,34.98,605
145,OB,18,758,35.89,606
145,OB,19,759,37.16,607
145,OB,20,760,38.79,608
145,OB,21,761,40.09,609
145,OB,22,762,40.68,610
145,OB,23,763,41.95,611
145,OB,24,2007,43.2,612
145,OB,25,2008,44.72,613
145,OB,26,2009,45.66,614
145,OB,27,2010,47.29,615
